user_id,username,action,resource,resource_sensitivity,status,time_classification,timestamp,risk_score,severity,anomaly_reasons,is_anomaly,user_dept,user_role,privilege,hire_date,days_inactive,is_active
USR00057,zainab.jo,export_data,File_Share,low,success,business_hours,2025-04-21 05:58:00,45,MEDIUM,High-risk action: export_data|Unapproved resource: File_Share,1,Sales,Architect,admin,2024-06-15,14,True
USR00079,varun.weber,sql_query,Customer_Vault,high,success,business_hours,2025-04-21 21:44:00,70,HIGH,Sensitive resource (high)|Unapproved resource: Customer_Vault|Account inactive 52 days,1,Engineering,Engineer,user,2025-02-10,52,True
USR00085,varun.rao,api_call,HRIS,high,success,night,2025-04-22 09:18:00,93,CRITICAL,Off-hours access (night)|Sensitive resource (high)|Unapproved resource: HRIS|Account inactive 44 days,1,Marketing,Developer,user,2022-07-24,44,True
USR00037,ronald.wilson,admin_operation,HRIS,high,success,business_hours,2025-04-22 15:52:00,65,HIGH,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: HRIS,1,Finance,Coordinator,power-user,2024-03-06,25,True
USR00048,xiulan.colombo,export_data,GL_System,high,success,weekend,2025-04-23 06:57:00,90,CRITICAL,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: GL_System|Account inactive 34 days,1,Compliance,Administrator,user,2023-10-28,34,True
USR00032,pooja.martin,admin_operation,Admin_Console,medium,success,night,2025-04-24 00:09:00,100,CRITICAL,Off-hours access (night)|Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: Admin_Console|User privilege doing admin action,1,Support,Coordinator,user,2023-06-21,13,True
USR00015,sophia.white,login,HRIS,high,success,business_hours,2025-04-24 03:19:00,47,MEDIUM,Sensitive resource (high)|Unapproved resource: HRIS,1,Security,Developer,admin,2025-10-04,24,True
USR00017,diya.schulz,sql_query,BI_Tool,low,success,unusual_hours,2025-04-27 16:47:00,65,HIGH,Off-hours access (unusual_hours)|Unapproved resource: BI_Tool|Account inactive 46 days,1,Executive,Manager,power-user,2025-04-02,46,True
USR00036,nicholas.harris,admin_operation,Admin_Console,medium,success,business_hours,2025-04-28 06:43:00,100,CRITICAL,Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: Admin_Console|User privilege doing admin action|Account inactive 40 days,1,Marketing,Analyst,user,2025-11-25,40,True
USR00010,jacob.patel,sql_query,HRIS,high,success,business_hours,2025-04-29 22:34:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: HRIS,1,Marketing,Architect,user,2025-09-20,1,True
USR00075,timothy.huang,login,PROD_DB,high,success,business_hours,2025-04-30 04:20:00,47,MEDIUM,Sensitive resource (high)|Unapproved resource: PROD_DB,1,Sales,Manager,user,2023-12-15,21,True
USR00068,robert.patel,api_call,PROD_DB,high,failure,business_hours,2025-04-30 05:05:00,23,LOW,Sensitive resource (high)|Access attempt FAILED,0,Support,Lead,admin,2024-10-25,7,True
USR00070,jeffrey.chen,admin_operation,Customer_Vault,high,success,unusual_hours,2025-04-30 10:13:00,85,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: Customer_Vault,1,IT,Administrator,power-user,2024-02-02,19,True
USR00063,daniel.colombo,api_call,Admin_Console,medium,success,business_hours,2025-05-01 10:31:00,58,MEDIUM,Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 52 days,1,Sales,Specialist,power-user,2025-03-04,52,True
USR00011,maria.o'brien,sql_query,HRIS,high,success,unusual_hours,2025-05-03 23:20:00,70,HIGH,Off-hours access (unusual_hours)|Sensitive resource (high)|Unapproved resource: HRIS,1,Security,Administrator,user,2025-09-10,16,True
USR00022,harsh.patel,login,Admin_Console,medium,success,business_hours,2025-05-04 10:11:00,52,MEDIUM,Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 52 days,1,Legal,Specialist,user,2025-04-22,52,True
USR00057,zainab.jo,export_data,Customer_Vault,high,success,unusual_hours,2025-05-04 15:55:00,90,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: export_data|Unapproved resource: Customer_Vault,1,Sales,Architect,admin,2024-06-15,14,True
USR00022,harsh.patel,sql_query,SIEM,medium,success,business_hours,2025-05-04 21:13:00,55,MEDIUM,Sensitive resource (medium)|Unapproved resource: SIEM|Account inactive 52 days,1,Legal,Specialist,user,2025-04-22,52,True
USR00006,kevin.ramirez,login,PROD_DB,high,success,business_hours,2025-05-05 15:36:00,67,HIGH,Sensitive resource (high)|Unapproved resource: PROD_DB|Account inactive 46 days,1,Legal,Architect,power-user,2024-05-08,46,True
USR00005,george.lim,api_call,Data_Lake,medium,success,business_hours,2025-05-06 12:13:00,58,MEDIUM,Sensitive resource (medium)|Unapproved resource: Data_Lake|Account inactive 57 days,1,Engineering,Administrator,user,2025-05-25,57,True
USR00010,jacob.patel,admin_operation,Admin_Console,medium,success,business_hours,2025-05-06 14:10:00,80,HIGH,Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: Admin_Console|User privilege doing admin action,1,Marketing,Architect,user,2025-09-20,1,True
USR00097,leila.lopez,admin_operation,GL_System,high,success,unusual_hours,2025-05-06 20:40:00,100,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: GL_System|User privilege doing admin action|Account inactive 43 days,1,IT,Executive,user,2025-01-27,43,True
USR00036,nicholas.harris,export_data,Email_Archive,medium,failure,business_hours,2025-05-07 14:27:00,90,CRITICAL,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Email_Archive|Access attempt FAILED|Account inactive 40 days,1,Marketing,Analyst,user,2025-11-25,40,True
USR00048,xiulan.colombo,login,File_Share,low,failure,business_hours,2025-05-07 19:55:00,57,MEDIUM,Unapproved resource: File_Share|Access attempt FAILED|Account inactive 34 days,1,Compliance,Administrator,user,2023-10-28,34,True
USR00094,donald.schulz,api_call,Customer_Vault,high,success,business_hours,2025-05-07 22:31:00,53,MEDIUM,Sensitive resource (high)|Unapproved resource: Customer_Vault,1,Sales,Officer,user,2024-01-04,28,True
USR00022,harsh.patel,login,Data_Lake,medium,success,business_hours,2025-05-08 02:31:00,52,MEDIUM,Sensitive resource (medium)|Unapproved resource: Data_Lake|Account inactive 52 days,1,Legal,Specialist,user,2025-04-22,52,True
USR00018,meera.burke,login,Admin_Console,medium,success,business_hours,2025-05-09 01:36:00,52,MEDIUM,Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 59 days,1,Operations,Executive,power-user,2025-10-04,59,True
USR00076,stephen.guo,sql_query,GL_System,high,success,business_hours,2025-05-10 08:50:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: GL_System,1,Finance,Lead,user,2025-10-30,8,True
USR00030,yuki.meyer,admin_operation,GL_System,high,success,weekend,2025-05-10 14:12:00,65,HIGH,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: GL_System,1,Marketing,Manager,service-account,2025-04-07,24,True
USR00061,sophia.hernandez,file_access,SIEM,medium,success,business_hours,2025-05-11 03:39:00,35,LOW,Sensitive resource (medium)|Account inactive 35 days,0,Support,Developer,user,2023-04-13,35,True
USR00018,meera.burke,export_data,BI_Tool,low,success,business_hours,2025-05-11 08:29:00,65,HIGH,High-risk action: export_data|Unapproved resource: BI_Tool|Account inactive 59 days,1,Operations,Executive,power-user,2025-10-04,59,True
USR00015,sophia.white,sql_query,SIEM,medium,success,business_hours,2025-05-11 10:30:00,0,LOW,Sensitive resource (medium),0,Security,Developer,admin,2025-10-04,24,True
USR00059,thomas.lewis,sql_query,Admin_Console,medium,success,business_hours,2025-05-12 07:58:00,55,MEDIUM,Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 58 days,1,Finance,Director,power-user,2024-08-12,58,True
USR00044,pooja.mishra,sql_query,HRIS,high,success,business_hours,2025-05-13 23:50:00,70,HIGH,Sensitive resource (high)|Unapproved resource: HRIS|Account inactive 59 days,1,Finance,Developer,admin,2023-11-18,59,True
